id,log_date,timestamp,location,dominan,aqi,pm25,pm10,co,no2,so2,o3
87,2025-04-22 15:52:05.715958+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
88,2025-04-22 15:53:06.7692+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
89,2025-04-22 15:54:07.483682+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
90,2025-04-22 15:55:08.256645+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
91,2025-04-22 15:56:09.01003+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
92,2025-04-22 15:57:09.721539+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
93,2025-04-22 15:58:10.471704+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
94,2025-04-22 15:59:11.177879+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
95,2025-04-22 16:00:12.012355+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
96,2025-04-22 16:01:12.766319+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
97,2025-04-22 16:02:13.513509+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
98,2025-04-22 16:03:14.187814+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
99,2025-04-22 16:04:14.938486+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
100,2025-04-22 16:05:15.656426+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
101,2025-04-22 16:06:16.423259+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
102,2025-04-22 16:07:17.142275+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
103,2025-04-22 16:08:17.869913+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
104,2025-04-22 16:09:18.570957+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
105,2025-04-22 16:10:19.306246+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
106,2025-04-22 16:11:19.977107+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
107,2025-04-22 16:12:20.756916+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
108,2025-04-22 16:13:21.435571+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
109,2025-04-22 16:14:22.145779+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
110,2025-04-22 16:15:22.816775+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
111,2025-04-22 16:16:23.799583+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
112,2025-04-22 16:17:24.524591+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
113,2025-04-22 16:18:25.231656+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
114,2025-04-22 16:19:25.957156+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
115,2025-04-22 16:20:26.671627+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
116,2025-04-22 16:21:27.371194+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
117,2025-04-22 16:22:28.086858+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
118,2025-04-22 16:23:28.777162+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
119,2025-04-22 16:24:29.52373+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
120,2025-04-22 16:25:30.698906+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
121,2025-04-22 16:26:31.700981+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
122,2025-04-22 16:27:32.386077+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
123,2025-04-22 16:28:33.090673+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
124,2025-04-22 16:29:33.770579+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
125,2025-04-22 16:30:34.456482+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
126,2025-04-22 16:31:35.185242+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
127,2025-04-22 16:32:35.917543+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
128,2025-04-22 16:33:36.599126+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
129,2025-04-22 16:34:37.274034+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
130,2025-04-22 16:35:38.607816+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
131,2025-04-22 16:36:39.292057+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
132,2025-04-22 16:37:39.976914+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
133,2025-04-22 16:38:40.683844+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
134,2025-04-22 16:39:41.393297+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
135,2025-04-22 16:40:42.117611+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
136,2025-04-22 16:41:42.780633+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
137,2025-04-22 16:42:43.484978+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
138,2025-04-22 16:43:44.192418+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
139,2025-04-22 16:44:44.879557+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
140,2025-04-22 16:45:45.573363+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
141,2025-04-22 16:46:46.283207+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
142,2025-04-22 16:47:46.986293+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
143,2025-04-22 16:48:47.670208+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
144,2025-04-22 16:49:48.731617+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
145,2025-04-22 16:50:49.477221+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
146,2025-04-22 16:51:50.486033+07,2025-04-22 16:00:00+07,surabaya,pm25,114,114,49,,50,44,81
